loan_id,customer_id,product_type,principal_amount,interest_rate,term_months,origination_date,origination_channel,status,borrower_info
L0001658,C002094,AUTO,55085.37,9.37,84,2021-10-16,online,default,"{""credit_score"": 777, ""employment"": ""salaried"", ""annual_income"": 27350, ""years_employed"": 21}"
L0001100,C005515,STUDENT,"$161,970.67",10.58,120,02/06/2025,online,active,"{""credit_score"": 807, ""employment"": ""unemployed"", ""annual_income"": 139845, ""years_employed"": 26}"
L0005881,C005800,AUTO,"$33,783.54",4.76,72,11/27/2020,partner,active,"{""credit_score"": 610, ""employment"": ""retired"", ""annual_income"": 48052, ""years_employed"": 7}"
L0001754,C003471,PERSONAL,10182.62,10.1,36,2023-01-12,branch,closed,"{""credit_score"": 573, ""employment"": ""salaried"", ""annual_income"": 272678, ""years_employed"": 19}"
L0002265,C001567,Personal,11003.57,22.14,12,2023-09-24,online,active,"{""credit_score"": 673, ""employment"": ""self-employed"", ""annual_income"": 133881, ""years_employed"": 0}"
L0005654,C004821,MORTGAGE,1210072.49,4.07,120,2024-02-05,partner,active,"{""credit_score"": 577, ""employment"": ""unemployed"", ""annual_income"": 280031, ""years_employed"": 2}"
L0008881,C003641,student,"129,819.60",4.43,180,2024-12-14,branch,charged_off,"{""credit_score"": 570, ""employment"": ""salaried"", ""annual_income"": 77670, ""years_employed"": 29}"
L0005399,C001633,Auto,62953.10,14.72,72,2025-02-17,partner,closed,"{""credit_score"": 748, ""employment"": ""unemployed"", ""annual_income"": 267124, ""years_employed"": 21}"
L0004527,C003273,Mortgage,1341865.14,4.5,120,2022-05-13,partner,closed,"{""credit_score"": 729, ""employment"": ""salaried"", ""annual_income"": 255628, ""years_employed"": 20}"
L0003533,C005276,personal,5721.56,16.32,60,2024-06-09,branch,closed,"{""credit_score"": 602, ""employment"": ""unemployed"", ""annual_income"": 61698, ""years_employed"": 4}"
L0007928,C005470,STUDENT,140064.92,5.06,180,2023-03-21,broker,default,"{""credit_score"": 806, ""employment"": ""unemployed"", ""annual_income"": 103412, ""years_employed"": 14}"
L0008914,C001681,Personal,14692,10.07,12,2024-01-24,branch,closed,"{""credit_score"": 564, ""employment"": ""retired"", ""annual_income"": 202488, ""years_employed"": 27}"
L0008071,C003793,student,"96,696.13",11.14,60,2024-11-24,partner,active,"{""credit_score"": 710, ""employment"": ""salaried"", ""annual_income"": 70870, ""years_employed"": 26}"
L0003257,C003090,Auto,25296.15,8.42,60,31-Jan-2025,broker,active,"{""credit_score"": 735, ""employment"": ""unemployed"", ""annual_income"": 184281, ""years_employed"": 21}"
L0006400,C000208,personal,9692,18.76,12,2020-12-23,online,charged_off,"{""credit_score"": 660, ""employment"": ""retired"", ""annual_income"": 149282, ""years_employed"": 16}"
L0007438,C002404,Mortgage,1609615,3.18,240,2024-05-26,partner,active,"{""credit_score"": 692, ""employment"": ""salaried"", ""annual_income"": 46796, ""years_employed"": 20}"
L0006758,C002872,Auto,25366.64,8.04,72,2025-05-05,branch,default,"{""credit_score"": 710, ""employment"": ""retired"", ""annual_income"": 153724, ""years_employed"": 27}"
L0000001,C005239,personal,"$37,335.97",23.06,24,25-Feb-2024,branch,active,"{""credit_score"": 837, ""employment"": ""self-employed"", ""annual_income"": 239949, ""years_employed"": 7}"
L0002504,C003278,PERSONAL,13110.70,21.49,60,2022-07-23,branch,closed,"{""credit_score"": 750, ""employment"": ""retired"", ""annual_income"": 269274, ""years_employed"": 25}"
L0004970,C000933,MORTGAGE,986816.86,7.68,120,2023-04-28,online,active,"{""credit_score"": 580, ""employment"": ""unemployed"", ""annual_income"": 189947, ""years_employed"": 12}"
L0004208,C005671,STUDENT,"$56,356.90",5.9,120,12/09/2022,broker,active,"{""credit_score"": 628, ""employment"": ""unemployed"", ""annual_income"": 196949, ""years_employed"": 20}"
L0008447,C005918,Student,41261.95,11.29,60,2024-10-04,online,charged_off,"{""credit_score"": 692, ""employment"": ""unemployed"", ""annual_income"": 140798, ""years_employed"": 4}"
L0000487,C005120,STUDENT,45980,11.2,240,2023-07-11,broker,closed,"{""credit_score"": 756, ""employment"": ""retired"", ""annual_income"": 126214, ""years_employed"": 2}"
L0009488,C004264,AUTO,6542.42,6.7,48,2022-01-06,branch,closed,"{""credit_score"": 745, ""employment"": ""retired"", ""annual_income"": 210677, ""years_employed"": 19}"
L0003706,C003621,Student,"138,958.94",6.41,180,2025-03-04,broker,default,"{""credit_score"": 801, ""employment"": ""retired"", ""annual_income"": 202409, ""years_employed"": 1}"
L0003710,C002694,Mortgage,902267.72,7.69,120,2023-11-26,online,charged_off,"{""credit_score"": 837, ""employment"": ""retired"", ""annual_income"": 201793, ""years_employed"": 20}"
L0004519,C001657,PERSONAL,3244,16.01,36,2020-06-17,broker,closed,"{""credit_score"": 562, ""employment"": ""salaried"", ""annual_income"": 263704, ""years_employed"": 4}"
L0008755,C004279,Mortgage,1254418,3.54,240,2023-08-12,broker,active,"{""credit_score"": 749, ""employment"": ""unemployed"", ""annual_income"": 247455, ""years_employed"": 25}"
L0001424,C002311,auto,36873.88,8.42,60,2020-12-25,online,default,"{""credit_score"": 624, ""employment"": ""retired"", ""annual_income"": 257863, ""years_employed"": 10}"
L0000174,C001721,mortgage,1049477.75,3.57,120,2021-03-28,partner,active,"{""credit_score"": 698, ""employment"": ""salaried"", ""annual_income"": 151432, ""years_employed"": 3}"
L0009645,C001490,MORTGAGE,1778430.11,5.88,360,2020-10-03,partner,default,"{""credit_score"": 555, ""employment"": ""self-employed"", ""annual_income"": 38047, ""years_employed"": 21}"
L0007145,C004396,student,62331.74,4.85,180,2022-02-19,online,active,"{""credit_score"": 833, ""employment"": ""salaried"", ""annual_income"": 260448, ""years_employed"": 25}"
L0002404,C003972,mortgage,1907766,6.33,120,2025-05-19,broker,active,"{""credit_score"": 697, ""employment"": ""salaried"", ""annual_income"": 222427, ""years_employed"": 12}"
L0004866,C002200,mortgage,"$442,461.85",5.64,120,06/02/2020,online,closed,"{""credit_score"": 764, ""employment"": ""retired"", ""annual_income"": 154311, ""years_employed"": 11}"
L0000343,C002086,personal,37830,15.37,48,2020-03-25,broker,charged_off,"{""credit_score"": 712, ""employment"": ""retired"", ""annual_income"": 220472, ""years_employed"": 0}"
L0003700,C004657,MORTGAGE,979461,4.48,180,2023-04-10,branch,charged_off,"{""credit_score"": 685, ""employment"": ""self-employed"", ""annual_income"": 154796, ""years_employed"": 15}"
L0003980,C005428,personal,3322.82,19.96,12,2023-08-30,partner,active,"{""credit_score"": 790, ""employment"": ""salaried"", ""annual_income"": 252546, ""years_employed"": 23}"
L0001973,C003528,Student,46360.89,4.08,120,2025-04-03,partner,charged_off,"{""credit_score"": 576, ""employment"": ""self-employed"", ""annual_income"": 54099, ""years_employed"": 10}"
L0003326,C002999,Personal,"$32,225.94",14.69,60,09/09/2023,online,active,"{""credit_score"": 594, ""employment"": ""self-employed"", ""annual_income"": 299492, ""years_employed"": 11}"
L0005809,C001461,Student,169236,6.87,60,13-Nov-2023,branch,active,"{""credit_score"": 824, ""employment"": ""salaried"", ""annual_income"": 208922, ""years_employed"": 22}"
L0003166,C004983,auto,"13,775.99",4.97,60,2021-05-18,broker,active,"{""credit_score"": 664, ""employment"": ""salaried"", ""annual_income"": 122088, ""years_employed"": 4}"
L0000410,C002715,STUDENT,5713.38,5.61,120,2024-06-18,partner,active,"{""credit_score"": 597, ""employment"": ""self-employed"", ""annual_income"": 133061, ""years_employed"": 25}"
L0000386,C003106,Auto,"$30,346.89",5.3,48,08-Oct-2024,online,default,"{""credit_score"": 661, ""employment"": ""retired"", ""annual_income"": 290285, ""years_employed"": 26}"
L0008853,C005003,AUTO,68641.77,6.51,36,2020-12-19,partner,active,"{""credit_score"": 802, ""employment"": ""unemployed"", ""annual_income"": 266479, ""years_employed"": 23}"
L0004762,C003219,PERSONAL,19541,17.89,60,2020-11-29,online,closed,"{""credit_score"": 715, ""employment"": ""salaried"", ""annual_income"": 42191, ""years_employed"": 10}"
L0000511,C001456,Student,"131,581.93",11.77,240,2023-10-31,branch,active,"{""credit_score"": 664, ""employment"": ""self-employed"", ""annual_income"": 283906, ""years_employed"": 2}"
L0004204,C005885,student,192223,7.77,240,2022-04-02,online,default,"{""credit_score"": 724, ""employment"": ""self-employed"", ""annual_income"": 107923, ""years_employed"": 15}"
L0007122,C003949,Personal,4589.80,16.99,48,2024-06-22,branch,charged_off,"{""credit_score"": 747, ""employment"": ""retired"", ""annual_income"": 55844, ""years_employed"": 13}"
L0001538,C001916,personal,9384.71,23.76,12,2024-07-10,broker,active,"{""credit_score"": 589, ""employment"": ""retired"", ""annual_income"": 58933, ""years_employed"": 1}"
L0000786,C000978,Personal,"13,149.13",13.97,24,2023-06-23,online,default,"{""credit_score"": 799, ""employment"": ""salaried"", ""annual_income"": 282714, ""years_employed"": 1}"
L0003965,C000288,student,41345.34,5.28,240,2025-04-01,online,closed,"{""credit_score"": 677, ""employment"": ""unemployed"", ""annual_income"": 236119, ""years_employed"": 24}"
L0008174,C002485,MORTGAGE,1410389.22,5.08,360,27-Jun-2023,partner,active,"{""credit_score"": 569, ""employment"": ""retired"", ""annual_income"": 280252, ""years_employed"": 23}"
L0003933,C005472,auto,58873.55,4.33,60,2022-08-04,branch,active,"{""credit_score"": 554, ""employment"": ""salaried"", ""annual_income"": 147620, ""years_employed"": 28}"
L0005595,C001113,STUDENT,8340.90,8.26,60,2023-11-24,broker,active,"{""credit_score"": 848, ""employment"": ""salaried"", ""annual_income"": 140242, ""years_employed"": 29}"
L0002233,C000489,mortgage,1365276,6.44,360,2021-07-12,broker,active,"{""credit_score"": 643, ""employment"": ""self-employed"", ""annual_income"": 235970, ""years_employed"": 9}"
L0002674,C004747,auto,25921,4.49,72,17-Feb-2023,partner,active,"{""credit_score"": 570, ""employment"": ""self-employed"", ""annual_income"": 254640, ""years_employed"": 30}"
L0003339,C001947,mortgage,711094.39,6.84,240,2020-02-29,partner,active,"{""credit_score"": 581, ""employment"": ""unemployed"", ""annual_income"": 40549, ""years_employed"": 10}"
L0006056,C004946,Mortgage,"$1,974,993.35",3.72,360,12/28/2024,online,default,"{""credit_score"": 637, ""employment"": ""retired"", ""annual_income"": 45756, ""years_employed"": 0}"
L0009110,C004418,Auto,37627.96,11.81,60,2022-11-21,broker,active,"{""credit_score"": 585, ""employment"": ""unemployed"", ""annual_income"": 168461, ""years_employed"": 29}"
L0002895,C003023,MORTGAGE,232927.30,3.53,120,2020-10-24,broker,closed,"{""credit_score"": 835, ""employment"": ""unemployed"", ""annual_income"": 140048, ""years_employed"": 13}"
L0002205,C002311,Personal,33815.59,12.31,60,2025-05-10,broker,closed,"{""credit_score"": 606, ""employment"": ""unemployed"", ""annual_income"": 68865, ""years_employed"": 1}"
L0005456,C003512,PERSONAL,"25,426.87",8.08,12,2021-09-15,partner,active,"{""credit_score"": 599, ""employment"": ""salaried"", ""annual_income"": 233895, ""years_employed"": 4}"
L0000373,C005872,AUTO,21880,9.36,48,2024-05-08,online,default,"{""credit_score"": 722, ""employment"": ""unemployed"", ""annual_income"": 268209, ""years_employed"": 11}"
L0003479,C003387,Auto,40569.22,5.85,72,2024-04-05,partner,active,"{""credit_score"": 654, ""employment"": ""unemployed"", ""annual_income"": 97798, ""years_employed"": 12}"
L0000498,C002460,personal,"$38,395.48",11.85,24,05/04/2024,broker,active,"{""credit_score"": 840, ""employment"": ""self-employed"", ""annual_income"": 88100, ""years_employed"": 21}"
L0008037,C004343,personal,"$21,426.79",21.3,60,05/31/2020,online,closed,"{""credit_score"": 644, ""employment"": ""retired"", ""annual_income"": 289215, ""years_employed"": 28}"
L0009995,C005704,Student,51867.47,7.12,60,2020-08-13,broker,default,"{""credit_score"": 831, ""employment"": ""self-employed"", ""annual_income"": 235183, ""years_employed"": 22}"
L0000631,C003555,Student,"$145,131.08",5.32,120,04/08/2022,branch,active,"{""credit_score"": 677, ""employment"": ""unemployed"", ""annual_income"": 100351, ""years_employed"": 29}"
L0000041,C003635,AUTO,"7,171.04",5.6,48,2022-01-04,branch,active,"{""credit_score"": 590, ""employment"": ""unemployed"", ""annual_income"": 146264, ""years_employed"": 15}"
L0000859,C005164,auto,48282,8.65,60,30-Oct-2024,online,closed,"{""credit_score"": 808, ""employment"": ""salaried"", ""annual_income"": 263625, ""years_employed"": 30}"
L0005286,C002930,PERSONAL,"$17,551.95",10.44,48,07/25/2021,partner,active,"{""credit_score"": 801, ""employment"": ""unemployed"", ""annual_income"": 52233, ""years_employed"": 29}"
L0004561,C001564,AUTO,"63,556.86",7.34,84,2021-07-20,branch,charged_off,"{""credit_score"": 845, ""employment"": ""unemployed"", ""annual_income"": 121347, ""years_employed"": 2}"
L0008396,C003495,auto,"45,113.87",9.48,60,2024-11-15,online,active,"{""credit_score"": 552, ""employment"": ""retired"", ""annual_income"": 75164, ""years_employed"": 18}"
L0008605,C005416,student,134058,4.29,60,2022-07-21,broker,active,"{""credit_score"": 730, ""employment"": ""self-employed"", ""annual_income"": 281924, ""years_employed"": 29}"
L0002320,C003253,student,59336,5.3,240,2022-12-18,broker,active,"{""credit_score"": 678, ""employment"": ""salaried"", ""annual_income"": 238916, ""years_employed"": 29}"
L0003296,C004256,auto,"55,267.70",10.15,84,2020-07-01,branch,active,"{""credit_score"": 551, ""employment"": ""self-employed"", ""annual_income"": 297784, ""years_employed"": 15}"
L0005642,C005357,Mortgage,1116579.89,6.85,360,2020-01-12,broker,active,"{""credit_score"": 731, ""employment"": ""unemployed"", ""annual_income"": 190458, ""years_employed"": 9}"
L0003357,C001711,personal,9382.92,8.69,12,2021-11-24,broker,closed,"{""credit_score"": 769, ""employment"": ""retired"", ""annual_income"": 230090, ""years_employed"": 7}"
L0006751,C003223,STUDENT,"197,009.57",5.21,240,2023-02-23,broker,closed,"{""credit_score"": 606, ""employment"": ""self-employed"", ""annual_income"": 220907, ""years_employed"": 13}"
L0006322,C002649,Personal,"$8,077.00",13.67,12,05/27/2020,partner,closed,"{""credit_score"": 710, ""employment"": ""retired"", ""annual_income"": 201330, ""years_employed"": 6}"
L0008063,C001132,Mortgage,1554380.40,5.71,120,2020-03-05,online,charged_off,"{""credit_score"": 563, ""employment"": ""unemployed"", ""annual_income"": 142935, ""years_employed"": 29}"
L0003223,C005564,student,124480,6.02,60,2020-04-17,partner,charged_off,"{""credit_score"": 819, ""employment"": ""retired"", ""annual_income"": 136687, ""years_employed"": 0}"
L0008637,C005516,PERSONAL,36254.59,9.36,36,2022-02-20,branch,closed,"{""credit_score"": 652, ""employment"": ""self-employed"", ""annual_income"": 49963, ""years_employed"": 9}"
L0000106,C004852,AUTO,"$7,018.71",7.2,72,03/05/2021,partner,active,"{""credit_score"": 705, ""employment"": ""self-employed"", ""annual_income"": 152477, ""years_employed"": 21}"
L0000277,C000644,STUDENT,97367,7.62,60,2022-06-02,partner,active,"{""credit_score"": 679, ""employment"": ""salaried"", ""annual_income"": 54732, ""years_employed"": 9}"
L0003738,C000075,PERSONAL,32924.00,20.05,24,2025-01-04,broker,closed,"{""credit_score"": 722, ""employment"": ""retired"", ""annual_income"": 123091, ""years_employed"": 16}"
L0008058,C000522,Student,"$154,938.27",11.95,120,09/19/2021,broker,active,"{""credit_score"": 820, ""employment"": ""retired"", ""annual_income"": 183785, ""years_employed"": 26}"
L0000854,C003104,AUTO,49163.78,5.5,72,2021-03-05,partner,closed,"{""credit_score"": 724, ""employment"": ""salaried"", ""annual_income"": 35200, ""years_employed"": 22}"
L0003177,C001218,Auto,13839.87,9.55,60,2024-07-22,online,active,"{""credit_score"": 625, ""employment"": ""salaried"", ""annual_income"": 233211, ""years_employed"": 27}"
L0002469,C003318,personal,22296.79,15.18,24,2022-04-27,broker,charged_off,"{""credit_score"": 722, ""employment"": ""self-employed"", ""annual_income"": 129688, ""years_employed"": 1}"
L0007722,C002449,AUTO,"$60,045.28",5.63,36,07/10/2021,broker,active,"{""credit_score"": 772, ""employment"": ""unemployed"", ""annual_income"": 156918, ""years_employed"": 21}"
L0001575,C002799,Mortgage,1734056.32,3.94,240,2021-02-28,online,active,"{""credit_score"": 741, ""employment"": ""unemployed"", ""annual_income"": 231859, ""years_employed"": 2}"
L0004599,C004566,Auto,56265.23,6.38,48,22-Dec-2020,online,active,"{""credit_score"": 692, ""employment"": ""unemployed"", ""annual_income"": 46130, ""years_employed"": 17}"
L0005985,C000910,STUDENT,127640.16,3.13,240,21-Feb-2025,online,active,"{""credit_score"": 587, ""employment"": ""retired"", ""annual_income"": 252079, ""years_employed"": 21}"
L0009650,C000966,Auto,74024.14,8.7,36,2021-12-10,partner,closed,"{""credit_score"": 558, ""employment"": ""unemployed"", ""annual_income"": 252856, ""years_employed"": 27}"
L0008658,C001773,MORTGAGE,857418.10,6.51,120,19-Dec-2020,broker,closed,"{""credit_score"": 745, ""employment"": ""self-employed"", ""annual_income"": 143544, ""years_employed"": 26}"
L0001469,C003836,Personal,10663.77,13.23,24,2025-01-07,broker,closed,"{""credit_score"": 694, ""employment"": ""salaried"", ""annual_income"": 256021, ""years_employed"": 24}"
L0003061,C002970,STUDENT,"14,916.16",7.25,180,2021-08-31,branch,closed,"{""credit_score"": 673, ""employment"": ""self-employed"", ""annual_income"": 262196, ""years_employed"": 3}"
L0005672,C002324,STUDENT,109044.28,6.59,240,2020-03-23,online,closed,"{""credit_score"": 802, ""employment"": ""retired"", ""annual_income"": 185176, ""years_employed"": 30}"
L0002592,C005809,Mortgage,119377.74,5.89,120,2021-09-20,branch,default,"{""credit_score"": 605, ""employment"": ""self-employed"", ""annual_income"": 215833, ""years_employed"": 17}"
L0003082,C003215,Auto,45151,9.27,60,2024-04-14,branch,active,"{""credit_score"": 577, ""employment"": ""salaried"", ""annual_income"": 227957, ""years_employed"": 6}"
L0007927,C003875,AUTO,37485,11.6,84,2022-08-16,online,closed,"{""credit_score"": 758, ""employment"": ""unemployed"", ""annual_income"": 82160, ""years_employed"": 13}"
L0004655,C003320,PERSONAL,38023.31,11.55,12,2022-04-18,branch,active,"{""credit_score"": 591, ""employment"": ""salaried"", ""annual_income"": 226003, ""years_employed"": 19}"
L0009007,C001110,Personal,13413,23.82,48,2023-04-14,partner,default,"{""credit_score"": 686, ""employment"": ""unemployed"", ""annual_income"": 96573, ""years_employed"": 1}"
L0002687,C000925,Mortgage,189857.52,7.07,180,2022-01-13,partner,active,"{""credit_score"": 640, ""employment"": ""retired"", ""annual_income"": 54394, ""years_employed"": 9}"
L0000332,C004630,auto,60948.01,9.75,36,2024-10-18,broker,charged_off,"{""credit_score"": 551, ""employment"": ""unemployed"", ""annual_income"": 47191, ""years_employed"": 27}"
L0006093,C002544,Personal,15922.99,8.24,12,2024-02-19,branch,active,"{""credit_score"": 668, ""employment"": ""salaried"", ""annual_income"": 273010, ""years_employed"": 3}"
L0005770,C004155,PERSONAL,8573,14.2,24,2020-06-29,branch,closed,"{""credit_score"": 656, ""employment"": ""salaried"", ""annual_income"": 214246, ""years_employed"": 11}"
L0003823,C000728,PERSONAL,"$7,046.93",23.55,36,03/24/2022,partner,active,"{""credit_score"": 613, ""employment"": ""self-employed"", ""annual_income"": 120212, ""years_employed"": 22}"
L0003986,C001985,PERSONAL,"5,897.34",13.3,24,2022-06-24,partner,charged_off,"{""credit_score"": 558, ""employment"": ""retired"", ""annual_income"": 200697, ""years_employed"": 23}"
L0007099,C003211,student,"$5,665.65",4.9,240,01/22/2023,online,active,"{""credit_score"": 711, ""employment"": ""salaried"", ""annual_income"": 194627, ""years_employed"": 4}"
L0004581,C004336,AUTO,"37,407.56",14.01,72,2025-05-10,broker,charged_off,"{""credit_score"": 658, ""employment"": ""retired"", ""annual_income"": 134461, ""years_employed"": 4}"
L0004306,C004664,MORTGAGE,"$302,389.72",4.46,360,08/18/2024,online,closed,"{""credit_score"": 630, ""employment"": ""retired"", ""annual_income"": 178357, ""years_employed"": 28}"
L0004798,C005770,auto,21721,4.69,48,2024-12-25,partner,default,"{""credit_score"": 787, ""employment"": ""self-employed"", ""annual_income"": 106641, ""years_employed"": 26}"
L0007191,C002366,AUTO,"57,321.36",7.82,48,2022-01-12,partner,active,"{""credit_score"": 710, ""employment"": ""retired"", ""annual_income"": 40604, ""years_employed"": 25}"
L0000146,C003803,STUDENT,"98,268.56",6.15,120,2022-07-02,broker,active,"{""credit_score"": 695, ""employment"": ""salaried"", ""annual_income"": 222671, ""years_employed"": 1}"
L0009470,C001954,auto,48518.54,12.45,84,2022-06-30,online,charged_off,"{""credit_score"": 660, ""employment"": ""salaried"", ""annual_income"": 253561, ""years_employed"": 29}"
L0004012,C003630,student,"$179,594.36",8.28,180,10/27/2020,online,closed,"{""credit_score"": 798, ""employment"": ""unemployed"", ""annual_income"": 272318, ""years_employed"": 18}"
L0008600,C001576,auto,76915.13,11.69,60,2021-03-09,partner,active,"{""credit_score"": 752, ""employment"": ""retired"", ""annual_income"": 293123, ""years_employed"": 27}"
L0009654,C002346,mortgage,"$1,964,123.43",6.53,180,05/22/2022,branch,closed,"{""credit_score"": 786, ""employment"": ""salaried"", ""annual_income"": 41697, ""years_employed"": 7}"
L0004693,C002579,STUDENT,11951,7.27,120,2024-11-14,branch,active,"{""credit_score"": 718, ""employment"": ""retired"", ""annual_income"": 198786, ""years_employed"": 7}"
L0003366,C005224,student,"132,009.77",9.75,180,2022-11-05,partner,active,"{""credit_score"": 698, ""employment"": ""self-employed"", ""annual_income"": 99747, ""years_employed"": 0}"
L0003075,C004811,AUTO,76884.73,7.46,36,2022-01-17,online,active,"{""credit_score"": 791, ""employment"": ""salaried"", ""annual_income"": 272390, ""years_employed"": 5}"
L0007092,C000213,mortgage,"$608,089.55",7.02,180,06/06/2022,partner,closed,"{""credit_score"": 657, ""employment"": ""retired"", ""annual_income"": 243669, ""years_employed"": 20}"
L0004401,C002135,Personal,"39,227.90",23.97,36,13-Apr-2021,branch,active,"{""credit_score"": 656, ""employment"": ""unemployed"", ""annual_income"": 221409, ""years_employed"": 14}"
L0007035,C003197,auto,37810.93,7.54,72,2022-10-16,online,active,"{""credit_score"": 574, ""employment"": ""self-employed"", ""annual_income"": 110665, ""years_employed"": 16}"
L0003593,C004811,Auto,51246.88,13.04,36,2023-02-06,partner,closed,"{""credit_score"": 696, ""employment"": ""retired"", ""annual_income"": 207721, ""years_employed"": 19}"
L0008732,C004995,student,186459.51,9.59,60,2020-06-07,partner,closed,"{""credit_score"": 635, ""employment"": ""self-employed"", ""annual_income"": 91858, ""years_employed"": 29}"
L0009808,C004839,STUDENT,"$36,864.14",11.72,60,05/09/2022,branch,closed,"{""credit_score"": 723, ""employment"": ""retired"", ""annual_income"": 210759, ""years_employed"": 16}"
L0008240,C005840,Personal,"$41,110.20",20.4,12,08-Jun-2023,online,closed,"{""credit_score"": 718, ""employment"": ""unemployed"", ""annual_income"": 154133, ""years_employed"": 18}"
L0005879,C002720,personal,33134.38,10.92,36,2021-07-21,online,active,"{""credit_score"": 632, ""employment"": ""unemployed"", ""annual_income"": 268027, ""years_employed"": 16}"
L0007178,C005351,STUDENT,112611.82,6.61,120,2021-07-31,broker,charged_off,"{""credit_score"": 732, ""employment"": ""self-employed"", ""annual_income"": 91592, ""years_employed"": 6}"
L0009445,C001875,Personal,38538,14.86,24,2021-11-20,partner,closed,"{""credit_score"": 778, ""employment"": ""unemployed"", ""annual_income"": 200839, ""years_employed"": 18}"
L0006690,C001362,PERSONAL,6648.90,8.12,60,2024-02-26,partner,active,"{""credit_score"": 755, ""employment"": ""self-employed"", ""annual_income"": 207024, ""years_employed"": 3}"
L0000485,C000320,Student,150049.69,11.96,180,25-Jan-2023,broker,closed,"{""credit_score"": 838, ""employment"": ""self-employed"", ""annual_income"": 94195, ""years_employed"": 9}"
L0009086,C000990,personal,"24,742.33",20.04,48,2023-01-26,branch,active,"{""credit_score"": 587, ""employment"": ""salaried"", ""annual_income"": 65066, ""years_employed"": 4}"
L0007508,C001056,mortgage,1871652.70,5.45,120,2022-09-17,partner,active,"{""credit_score"": 588, ""employment"": ""self-employed"", ""annual_income"": 101159, ""years_employed"": 20}"
L0005911,C004454,personal,"35,774.83",11.88,48,2023-11-11,broker,active,"{""credit_score"": 733, ""employment"": ""unemployed"", ""annual_income"": 121429, ""years_employed"": 29}"
L0004474,C004053,auto,"$63,820.86",9.76,72,06/06/2022,broker,active,"{""credit_score"": 730, ""employment"": ""unemployed"", ""annual_income"": 228503, ""years_employed"": 26}"
L0005074,C000436,mortgage,1791908,7.8,360,2022-07-10,broker,charged_off,"{""credit_score"": 651, ""employment"": ""self-employed"", ""annual_income"": 178650, ""years_employed"": 19}"
L0008267,C001719,AUTO,40731.30,9.61,48,2025-02-23,branch,default,"{""credit_score"": 803, ""employment"": ""salaried"", ""annual_income"": 210049, ""years_employed"": 18}"
L0004403,C005036,AUTO,45129.64,7.22,60,2024-02-19,partner,active,"{""credit_score"": 586, ""employment"": ""unemployed"", ""annual_income"": 164936, ""years_employed"": 17}"
L0007764,C000163,student,"$142,248.07",11.84,240,10/26/2020,broker,default,"{""credit_score"": 566, ""employment"": ""self-employed"", ""annual_income"": 176507, ""years_employed"": 22}"
L0001295,C000553,STUDENT,174993.22,4.17,60,2022-05-06,branch,active,"{""credit_score"": 801, ""employment"": ""self-employed"", ""annual_income"": 275994, ""years_employed"": 17}"
L0004929,C000552,Personal,"$3,331.93",9.02,24,14-Aug-2023,online,default,"{""credit_score"": 811, ""employment"": ""unemployed"", ""annual_income"": 45910, ""years_employed"": 14}"
L0004489,C005758,auto,71360,13.42,48,03-Dec-2023,broker,active,"{""credit_score"": 646, ""employment"": ""self-employed"", ""annual_income"": 62751, ""years_employed"": 19}"
L0001326,C001415,STUDENT,"142,255.00",5.57,240,2021-09-16,partner,closed,"{""credit_score"": 700, ""employment"": ""self-employed"", ""annual_income"": 64325, ""years_employed"": 23}"
L0004017,C001638,PERSONAL,45504.86,8.68,48,2023-02-22,partner,active,"{""credit_score"": 747, ""employment"": ""retired"", ""annual_income"": 35731, ""years_employed"": 13}"
L0003347,C001961,STUDENT,"$20,204.70",8.65,180,06/17/2022,online,active,"{""credit_score"": 760, ""employment"": ""retired"", ""annual_income"": 59040, ""years_employed"": 24}"
L0005554,C002141,MORTGAGE,1880697,3.86,240,2021-12-23,broker,closed,"{""credit_score"": 724, ""employment"": ""salaried"", ""annual_income"": 95581, ""years_employed"": 12}"
L0003862,C004053,personal,42483,11.29,24,09-Dec-2022,partner,active,"{""credit_score"": 598, ""employment"": ""unemployed"", ""annual_income"": 233245, ""years_employed"": 20}"
L0001215,C002504,personal,30092.83,12.77,60,2020-09-26,online,active,"{""credit_score"": 677, ""employment"": ""retired"", ""annual_income"": 31178, ""years_employed"": 11}"
L0000705,C004435,MORTGAGE,1603374.78,5.51,120,30-Dec-2023,online,default,"{""credit_score"": 720, ""employment"": ""salaried"", ""annual_income"": 91368, ""years_employed"": 29}"
L0002062,C003099,Mortgage,1607475,3.02,240,2024-10-01,branch,closed,"{""credit_score"": 603, ""employment"": ""unemployed"", ""annual_income"": 101438, ""years_employed"": 13}"
L0003397,C002307,student,138495,3.31,60,2023-02-20,online,active,"{""credit_score"": 704, ""employment"": ""self-employed"", ""annual_income"": 111543, ""years_employed"": 7}"
L0002964,C004558,auto,43973.19,5.31,72,2022-10-26,broker,closed,"{""credit_score"": 781, ""employment"": ""retired"", ""annual_income"": 36976, ""years_employed"": 7}"
L0000921,C003879,mortgage,"1,839,728.61",3.13,120,2020-07-29,partner,active,"{""credit_score"": 563, ""employment"": ""salaried"", ""annual_income"": 103015, ""years_employed"": 21}"
L0005608,C004233,Mortgage,"$1,762,304.37",3.42,180,09/19/2024,branch,active,"{""credit_score"": 787, ""employment"": ""retired"", ""annual_income"": 153660, ""years_employed"": 24}"
